Team,Players
DAL,"Brandan Wright, Brendan Haywood, Brian Cardinal, Delonte West, Dirk Nowitzki, Dominique Jones, Ian Mahinmi, Jason Kidd, Jason Terry, Kelenna Azubuike, Lamar Odom, Rodrigue Beaubois, Sean Williams, Shawn Marion, Vince Carter, Yi Jianlian"
DEN,"Al Harrington, Andre Miller, Arron Afflalo, Chris Andersen, Corey Brewer, Danilo Gallinari, DeMarre Carroll, JaVale McGee, Jordan Hamilton, Julyan Stone, Kenneth Faried, Kosta Koufos, Nene Hilario, Rudy Fernandez, Timofey Mozgov, Ty Lawson, Wilson Chandler"
POR,"Armon Johnson, Chris Johnson, Craig Smith, Elliot Williams, Gerald Wallace, Hasheem Thabeet, J.J. Hickson, Jamal Crawford, Joel Przybilla, Jonny Flynn, Kurt Thomas, LaMarcus Aldridge, Luke Babbitt, Marcus Camby, Nicolas Batum, Nolan Smith, Raymond Felton, Wesley Matthews"
LAL,"Andrew Bynum, Andrew Goudelock, Christian Eyenga, Darius Morris, Derek Fisher, Devin Ebanks, Jason Kapono, Jordan Hill, Josh McRoberts, Kobe Bryant, Luke Walton, Matt Barnes, Metta World Peace, Pau Gasol, Ramon Sessions, Steve Blake, Troy Murphy"
NOH,"Al-Farouq Aminu, Carl Landry, Carldell Johnson, Chris Johnson, Chris Kaman, DaJuan Summers, Darryl Watkins, Donald Sloan, Emeka Okafor, Eric Gordon, Greivis Vasquez, Gustavo Ayon, Jarrett Jack, Jason Smith, Jeff Foote, Jerome Dyson, Lance Thomas, Marco Belinelli, Solomon Jones, Trevor Ariza, Trey Johnson, Xavier Henry"
SAS,"Boris Diaw, Cory Joseph, Danny Green, DeJuan Blair, Derrick Byars, Eric Dawson, Gary Neal, Ike Diogu, James Anderson, Justin Dentmon, Kawhi Leonard, Malcolm Thomas, Manu Ginobili, Matt Bonner, Patty Mills, Richard Jefferson, Stephen Jackson, T.J. Ford, Tiago Splitter, Tim Duncan, Tony Parker"
MIL,"Andrew Bogut, Beno Udrih, Brandon Jennings, Carlos Delfino, Darington Hobson, Drew Gooden, Ekpe Udoh, Ersan Ilyasova, Jon Brockman, Jon Leuer, Larry Sanders, Luc Mbah a Moute, Mike Dunleavy, Monta Ellis, Shaun Livingston, Stephen Jackson, Tobias Harris"
PHI,"Andre Iguodala, Andres Nocioni, Craig Brackins, Elton Brand, Evan Turner, Francisco Elson, Jodie Meeks, Jrue Holiday, Lavoy Allen, Lou Williams, Nikola Vucevic, Sam Young, Spencer Hawes, Thaddeus Young, Tony Battie, Xavier Silas"
WAS,"Andray Blatche, Brian Cook, Cartier Martin, Chris Singleton, Edwin Ubiles, JaVale McGee, James Singleton, Jan Vesely, John Wall, Jordan Crawford, Kevin Seraphin, Maurice Evans, Morris Almond, Nene Hilario, Nick Young, Rashard Lewis, Roger Mason, Ronny Turiaf, Shelvin Mack, Trevor Booker"
NYK,"Amar'e Stoudemire, Baron Davis, Carmelo Anthony, Dan Gadzuric, Henry Walker, Iman Shumpert, J.R. Smith, Jared Jeffries, Jeremy Lin, Jerome Jordan, Josh Harrellson, Landry Fields, Mike Bibby, Renaldo Balkman, Steve Novak, Toney Douglas, Tyson Chandler"
SAC,"Chuck Hayes, DeMarcus Cousins, Donte Greene, Francisco Garcia, Hassan Whiteside, Isaiah Thomas, J.J. Hickson, Jason Thompson, Jimmer Fredette, John Salmons, Marcus Thornton, Terrence Williams, Travis Outlaw, Tyler Honeycutt, Tyreke Evans"
MEM,"Brian Skinner, Dante Cunningham, Gilbert Arenas, Hamed Haddadi, Jeremy Pargo, Josh Davis, Josh Selby, Lester Hudson, Marc Gasol, Marreese Speights, Mike Conley, O.J. Mayo, Quincy Pondexter, Rudy Gay, Sam Young, Tony Allen, Zach Randolph"
LAC,"Blake Griffin, Bobby Simmons, Brian Cook, Caron Butler, Chauncey Billups, Chris Paul, Courtney Fortson, DeAndre Jordan, Eric Bledsoe, Kenyon Martin, Mo Williams, Nick Young, Randy Foye, Reggie Evans, Ryan Gomes, Solomon Jones, Travis Leslie, Trey Thompkins"
IND,"A.J. Price, Dahntay Jones, Danny Granger, Darren Collison, David West, George Hill, Jeff Ayres, Jeff Foster, Kyrylo Fesenko, Lance Stephenson, Leandro Barbosa, Lou Amundson, Paul George, Roy Hibbert, Tyler Hansbrough"
OKC,"Cole Aldrich, Daequan Cook, Derek Fisher, Eric Maynor, James Harden, Kendrick Perkins, Kevin Durant, Lazar Hayward, Nazr Mohammed, Nick Collison, Reggie Jackson, Royal Ivey, Russell Westbrook, Ryan Reid, Serge Ibaka, Thabo Sefolosha"
HOU,"Chandler Parsons, Chase Budinger, Courtney Fortson, Courtney Lee, Earl Boykins, Goran Dragic, Greg Smith, Hasheem Thabeet, Jeff Adrien, Jonny Flynn, Jordan Hill, Kevin Martin, Kyle Lowry, Luis Scola, Marcus Camby, Marcus Morris, Patrick Patterson, Samuel Dalembert, Terrence Williams"
UTA,"Al Jefferson, Alec Burks, Blake Ahearn, C.J. Miles, DeMarre Carroll, Derrick Favors, Devin Harris, Earl Watson, Enes Kanter, Gordon Hayward, Jamaal Tinsley, Jeremy Evans, Josh Howard, Paul Millsap, Raja Bell"
MIN,"Anthony Randolph, Anthony Tolliver, Brad Miller, Darko Milicic, Derrick Williams, J.J. Barea, Kevin Love, Luke Ridnour, Malcolm Lee, Martell Webster, Michael Beasley, Nikola Pekovic, Ricky Rubio, Wayne Ellington, Wesley Johnson"
CHI,"Brian Scalabrine, C.J. Watson, Carlos Boozer, Derrick Rose, Jimmy Butler, Joakim Noah, John Lucas III, Kyle Korver, Luol Deng, Mike James, Omer Asik, Richard Hamilton, Ronnie Brewer, Taj Gibson"
TOR,"Aaron Gray, Alan Anderson, Amir Johnson, Andrea Bargnani, Anthony Carter, Ben Uzoh, DeMar DeRozan, Ed Davis, Gary Forbes, Jamaal Magloire, James Johnson, Jerryd Bayless, Jose Calderon, Justin Dentmon, Leandro Barbosa, Linas Kleiza, Rasual Butler, Solomon Alabi"
CHA,"Bismack Biyombo, Boris Diaw, Byron Mullens, Corey Maggette, Cory Higgins, D.J. Augustin, D.J. White, DeSagana Diop, Derrick Brown, Eduardo Najera, Gerald Henderson, Jamario Moon, Kemba Walker, Matt Carroll, Reggie Williams, Tyrus Thomas"
ORL,"Chris Duhon, Daniel Orton, DeAndre Liggins, Dwight Howard, Earl Clark, Glen Davis, Hedo Turkoglu, Ish Smith, J.J. Redick, Jameer Nelson, Jason Richardson, Justin Harper, Larry Hughes, Quentin Richardson, Ryan Anderson, Von Wafer"
GSW,"Andris Biedrins, Brandon Rush, Charles Jenkins, Chris Wright, David Lee, Dominic McGuire, Dorell Wright, Earl Barron, Ekpe Udoh, Ish Smith, Jeremy Tyler, Keith Benson, Klay Thompson, Kwame Brown, Mickell Gladness, Mikki Moore, Monta Ellis, Nate Robinson, Richard Jefferson, Stephen Curry"
PHO,"Channing Frye, Grant Hill, Hakim Warrick, Jared Dudley, Josh Childress, Marcin Gortat, Markieff Morris, Michael Redd, Robin Lopez, Ronnie Price, Sebastian Telfair, Shannon Brown, Steve Nash"
MIA,"Chris Bosh, Dexter Pittman, Dwyane Wade, Eddy Curry, James Jones, Joel Anthony, Juwan Howard, LeBron James, Mario Chalmers, Mickell Gladness, Mike Miller, Norris Cole, Ronny Turiaf, Shane Battier, Terrel Harris, Udonis Haslem"
NJN,"Andre Emmett, Anthony Morrow, Armon Johnson, Brook Lopez, Damion James, DeShawn Stevenson, Dennis Horner, Deron Williams, Gerald Green, Gerald Wallace, Jerry Smith, Johan Petro, Jordan Farmar, Jordan Williams, Keith Bogans, Kris Humphries, Larry Owens, MarShon Brooks, Mehmet Okur, Shawne Williams, Shelden Williams, Sundiata Gaines"
DET,"Austin Daye, Ben Gordon, Ben Wallace, Brandon Knight, Charlie Villanueva, Damien Wilkins, Greg Monroe, Jason Maxiell, Jonas Jerebko, Rodney Stuckey, Tayshaun Prince, Vernon Macklin, Walker Russell, Will Bynum"
