game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201010270DEN,2011,8,33,0,78,140,155,751,912,14,48,264,795,813
201010270DEN,2011,8,33,3,912,78,140,155,12,14,48,264,795,813
201010270DEN,2011,8,33,4,12,78,140,912,990,14,48,264,795,813
201010270DEN,2011,8,33,6,12,78,140,912,990,14,129,264,795,813
201010270DEN,2011,8,33,8,12,78,140,990,705,14,264,371,795,813
201010270DEN,2011,8,33,10,12,140,990,705,410,14,264,371,795,813
201010270DEN,2011,8,33,11,12,140,410,705,990,14,264,371,481,813
201010270DEN,2011,8,33,12,12,140,705,410,155,264,371,481,615,813
201010270DEN,2011,8,33,13,12,140,155,410,751,264,371,481,615,858
201010270DEN,2011,8,33,14,12,140,155,410,751,311,371,481,615,858
201010270DEN,2011,8,33,15,12,751,155,410,78,311,371,481,615,858
201010270DEN,2011,8,33,16,12,78,155,410,751,311,347,371,615,858
201010270DEN,2011,8,33,17,78,155,410,751,912,14,48,311,347,858
201010270DEN,2011,8,33,19,78,990,155,751,140,14,48,264,795,813
201010270DEN,2011,8,33,22,78,140,155,751,990,14,48,311,795,813
201010270DEN,2011,8,33,23,78,140,155,990,705,14,48,311,795,813
201010270DEN,2011,8,33,24,78,140,155,705,990,14,48,795,813,858
201010270DEN,2011,8,33,25,78,140,155,912,751,14,48,264,795,813
201010270DEN,2011,8,33,31,751,78,140,155,12,14,129,264,795,813
201010270DEN,2011,8,33,34,12,140,155,751,410,14,129,264,795,813
201010270DEN,2011,8,33,37,12,140,410,990,912,129,311,347,371,615
201010270DEN,2011,8,33,39,140,410,990,912,705,129,311,347,371,615
201010270DEN,2011,8,33,42,78,990,410,912,12,129,311,347,371,615
201010270DEN,2011,8,33,43,12,78,410,912,990,311,347,371,481,858
201010270DEN,2011,8,33,44,78,990,410,912,356,311,347,371,481,858
201010270DEN,2011,8,33,46,78,356,990,912,832,311,347,371,481,858
201010300HOU,2011,11,8,0,1,588,645,901,1035,78,140,155,751,912
201010300HOU,2011,11,8,5,588,1035,645,901,610,78,140,155,751,912
201010300HOU,2011,11,8,7,901,588,610,645,107,78,140,155,751,912
